,Year,Genre,summed
223,2010.0,Puzzle,6.409999999999998
224,2010.0,Racing,30.990000000000002
225,2010.0,Role-Playing,66.26
226,2010.0,Shooter,79.08
227,2010.0,Simulation,12.829999999999995
228,2010.0,Sports,53.639999999999986
229,2010.0,Strategy,12.019999999999998
230,2011.0,Action,96.31999999999994
231,2011.0,Action-Adventure,8.030000000000001
232,2011.0,Adventure,19.08
233,2011.0,Fighting,22.34
234,2011.0,MMO,0.74
235,2011.0,Misc,22.5
236,2011.0,Music,2.17
237,2011.0,Party,0.04
238,2011.0,Platform,41.699999999999996
239,2011.0,Puzzle,2.7600000000000002
240,2011.0,Racing,42.24000000000001
241,2011.0,Role-Playing,70.85999999999997
242,2011.0,Shooter,114.06999999999998
243,2011.0,Simulation,9.780000000000003
244,2011.0,Sports,41.190000000000005
245,2011.0,Strategy,9.8
246,2012.0,Action,7.88
247,2012.0,Action-Adventure,17.729999999999997
248,2012.0,Fighting,1.44
249,2012.0,Misc,2.01
250,2012.0,Party,8.63
251,2012.0,Platform,20.47
252,2012.0,Puzzle,3.16
253,2012.0,Racing,2.39
254,2012.0,Role-Playing,25.310000000000006
255,2012.0,Shooter,4.869999999999999
256,2012.0,Simulation,0.95
257,2012.0,Sports,21.05
258,2012.0,Strategy,1.92
259,2012.0,Visual Novel,0.03
260,2013.0,Action,42.319999999999986
261,2013.0,Action-Adventure,24.34
262,2013.0,Adventure,9.46
263,2013.0,Education,0.09
264,2013.0,Fighting,2.4200000000000004
265,2013.0,Misc,1.06
266,2013.0,Music,8.46
267,2013.0,Party,4.69
268,2013.0,Platform,11.069999999999999
269,2013.0,Puzzle,2.31
270,2013.0,Racing,0.28
271,2013.0,Role-Playing,27.51000000000001
272,2013.0,Shooter,46.78
273,2013.0,Simulation,18.58
274,2013.0,Sports,12.440000000000003
275,2013.0,Strategy,3.48
276,2014.0,Action,32.81
277,2014.0,Action-Adventure,6.3100000000000005
278,2014.0,Adventure,1.2
279,2014.0,Fighting,14.999999999999998
280,2014.0,Misc,10.76
281,2014.0,Music,0.54
282,2014.0,Platform,5.1499999999999995
283,2014.0,Puzzle,2.16
284,2014.0,Racing,10.42
285,2014.0,Role-Playing,3.5799999999999996
286,2014.0,Shooter,33.419999999999995
287,2014.0,Simulation,11.44
288,2014.0,Sports,19.65
289,2015.0,Action,8.150000000000002
290,2015.0,Action-Adventure,7.2
291,2015.0,Adventure,1.54
292,2015.0,Fighting,1.4500000000000002
293,2015.0,Misc,3.01
294,2015.0,Party,0.49
295,2015.0,Platform,6.45
296,2015.0,Puzzle,0.66
297,2015.0,Racing,3.4699999999999998
298,2015.0,Role-Playing,28.189999999999998
299,2015.0,Shooter,25.739999999999995
300,2015.0,Simulation,3.32
301,2015.0,Sports,30.46
302,2015.0,Strategy,0.7899999999999999
303,2016.0,Action,16.619999999999997
304,2016.0,Action-Adventure,14.529999999999996
305,2016.0,Adventure,0.7
306,2016.0,Fighting,1.0
307,2016.0,Misc,1.52
308,2016.0,Music,1.93
309,2016.0,Party,0.87
310,2016.0,Platform,3.2800000000000002
311,2016.0,Puzzle,0.12
312,2016.0,Racing,2.52
313,2016.0,Role-Playing,30.309999999999995
314,2016.0,Shooter,10.34
315,2016.0,Simulation,7.21
316,2016.0,Sports,29.33
317,2016.0,Strategy,0.41
318,2016.0,Visual Novel,0.0
319,2017.0,Action,17.980000000000004
320,2017.0,Action-Adventure,13.85
321,2017.0,Adventure,0.93
322,2017.0,Board Game,0.3
323,2017.0,Fighting,3.8299999999999996
324,2017.0,Misc,1.6400000000000001
325,2017.0,Music,1.05
326,2017.0,Party,2.86
327,2017.0,Platform,19.37
328,2017.0,Puzzle,1.54
329,2017.0,Racing,19.619999999999997
330,2017.0,Role-Playing,16.9
331,2017.0,Shooter,28.23
332,2017.0,Simulation,1.1400000000000001
333,2017.0,Sports,28.2
334,2017.0,Strategy,2.6599999999999997
335,2018.0,Action,23.650000000000002
336,2018.0,Action-Adventure,39.22
337,2018.0,Adventure,3.1699999999999995
338,2018.0,Fighting,13.189999999999998
339,2018.0,MMO,0.1
340,2018.0,Misc,1.4900000000000002
341,2018.0,Music,0.4
342,2018.0,Party,5.3
343,2018.0,Platform,7.0
344,2018.0,Puzzle,1.31
345,2018.0,Racing,3.68
346,2018.0,Role-Playing,16.090000000000003
347,2018.0,Sandbox,1.89
348,2018.0,Shooter,0.9199999999999999
349,2018.0,Simulation,0.5700000000000001
350,2018.0,Sports,3.6799999999999997
351,2018.0,Strategy,0.44
352,2019.0,Action,0.0
353,2019.0,Action-Adventure,0.0
354,2019.0,Music,0.0
355,2019.0,Platform,0.37
356,2019.0,Shooter,0.0
357,2020.0,Action,0.09
358,2020.0,Racing,0.1
